usub_id,usub,closest isub,isub 2
0,Topic 0: creative common - kevin macleod - online business - facebook group - grow business - licensed creative,Careers,
1,Topic 1: nt really - note page - last night - happy hour - day wa - visit show,,
2,Topic 2: muslim central - short video - facebook channel - updated regularly - channel short - making lasting,Islam,
3,Topic 3: talk radio - air date - original air - attention deficit - internet radio - attention talk,Social Sciences,
4,Topic 4: associate professor - assistant professor - university california - stanford university - university chicago - st louis,Higher Education,
5,Topic 5: guest discus - science fiction - melvyn bragg - mitch joel - national gallery - gallery art,Visual Arts,
6,Topic 6: please consider - please check - r feed - talk radio - u info - radio mike,,
7,Topic 7: god ha - course miracle - jesus christ - holy spirit - new testament - part show,Christianity,
8,Topic 8: weight loss - celtic music - lose weight - functional medicine - eating disorder - jimmy moore,Fitness & Nutrition,
9,Topic 9: walking dead - news week - hd video - facebook google+ - show video - producer host,TV & Film,
10,Topic 10: estate investing - estate investor - cash flow - personal finance - credit card - rental property,Investing,
11,Topic 11: theme music - special thanks - national park - short story - show highlight - film festival,TV & Film,
12,Topic 12: college football - head coach - join show - ohio state - latest news - look ahead,College & High School,
13,Topic 13: continue reading - de la - guest week - auto show - du jour - dans la,,
14,Topic 14: law enforcement - true story - family history - native american - police officer - serial killer,Personal Journals,
15,Topic 15: comic book - middle school - graphic novel - school district - social work - join host,Visual Arts,
16,Topic 16: university press - hillary clinton - experience strength - strength hope - african american - human right,News & Politics,
17,Topic 17: board game - game throne - theme song - voice mail - ravelry group - please send,Other Games,
18,Topic 18: major spoiler - comic book - star trek - contact u - force awakens - pop culture,TV & Film,
19,Topic 19: climate change - click learn - story start - david cummings - know magic - silicon valley,News & Politics,
20,Topic 20: web site - bible church - call u - fan page - visit web - today lecture,Christianity,
21,Topic 21: link mentioned - open source - project management - big data - company ha - top tip,Management & Marketing,
22,Topic 22: full show - law school - day trial - get first - first order - blue apron,,
23,Topic 23: original mix - extended mix - guest mix - club mix - follow facebook - laidback luke,Music,
24,Topic 24: visit u - visit website - facebook group - note link - daily meditation - private facebook,Alternative Health,
25,Topic 25: love hear - show please - help show - thank much - like show - please take,,
26,Topic 26: fantasy football - wa sponsored - program wa - guy discus - guy talk - limited resource,Other Games,
27,Topic 27: r feed - final fantasy - movie tv - sit back - game show - new game,TV & Film,
28,Topic 28: u feedback - email u - martial art - send u - radio network - google play,,
29,Topic 29: youll learn - public speaking - product service - key takeaway - training program - graphic design,Training,
30,Topic 30: sport medicine - physical therapy - sport psychology - dr bill - world championship - ncaa division,Medicine,
31,Topic 31: please show - pm est - right click - show visit - original post - monday night,,
32,Topic 32: medical school - interview dr - air force - private practice - emergency medicine - guest dr,Medicine,
33,Topic 33: im going - youre going - fly fishing - youll hear - youve got - private label,Hobbies,
34,Topic 34: fat guy - fitness trainer - fit love - fitness expert - jj flizanes - universal orlando,Fitness & Nutrition,
35,Topic 35: desert island - island disc - favourite track - ha featured - taken original - archive edition,Music,
36,Topic 36: pm et - stop talk - day life - join talk - friday pm - group coaching,Self Help,
37,Topic 37: follow u - leave u - email u - u facebook - find u - contact u,,
38,Topic 38: sex life - sex toy - check show - complete show - youd like - mp file,Sexuality,
39,Topic 39: old time - time radio - radio sponsored - dvd old - science fiction - classic tv,Performing Arts,
40,Topic 40: mentioned show - stitcher radio - feel good - today going - dont forget - right away,,
41,Topic 41: coffee break - full transcript - write u - premium version - read full - season lesson,,
42,Topic 42: dharma talk - guided meditation - talk given - wa given - buddhist monastery - amaravati buddhist,Buddhism,
43,Topic 43: also cover - back another - open source - tip week - week joined - also discussed,,
44,Topic 44: never heard - via email - real housewife - rest u - even better - ha found,TV & Film,
45,Topic 45: area life - guest today - take action - today discus - life want - make change,Self Help,
46,Topic 46: trend following - amazon kindle - goldman sachs - federal reserve - book sold - fine book,Business News,
47,Topic 47: link resource - resource mentioned - email list - show link - click show - research practice,,
48,Topic 48: click via - via r - lds church - via click - via stitcher - mindfulness meditation,Spirituality,
49,Topic 49: walt disney - disney world - false false - style definition - definition tablemsonormaltable - msostylenoshow yes,Kids & Family,
50,Topic 50: new album - craft beer - brewing company - google play - beer session - stitcher tunein,Food,
51,Topic 51: fat loss - essential oil - report week - going learn - immune system - relationship food,Fitness & Nutrition,
52,Topic 52: appeared first - read post - post ep - reading post - part appeared - radio broadcast,Performing Arts,
53,Topic 53: bbc radio - solar system - black hole - favorite track - pm central - harry potter,Natural Sciences,
54,Topic 54: information visit - life coach - law attraction - world renowned - spiritual teacher - family life,Spirituality,
55,Topic 55: apple watch - app store - running time - bandwidth show - thanks cachefly - apple tv,Gadgets,
