topic,,
Topic 0: buddhist-zen-dharma-buddhism,Buddhism,1
Topic 1: nonprofit-certified-awardwinning-internationally,Non-Profit,1
Topic 10: promo-ep-wwwyoutubecomwatch-donation,,0
Topic 11: bbc-britain-programme-india,History,1
Topic 12: estate-investor-investing-trading,Investing,1
Topic 13: gang-rant-yeah-gon,Music,3
Topic 14: adhd-disorder-nutrition-symptom,Alternative Health,2
Topic 15: wasnt-basically-suggested-yesterday,,0
Topic 16: android-drone-io-vr,Gadgets,2
Topic 17: nutrition-paleo-jimmy-muscle,Fitness & Nutrition,1
Topic 18: stitcher-patreon-rating-r,Visual Arts,4
Topic 19: spoiler-marvel-batman-superman,Visual Arts,4
Topic 2: survivor-ron-ian-terry,Visual Arts,4
Topic 20: mindfulness-yoga-miracle-gratitude,Alternative Health,2
Topic 21: pt-false-cambria-minorlatin,Philosophy,1
Topic 22: nfl-nba-draft-baseball,Professional,1
Topic 23: cigar-copyright-dj-indoor,Music,3
Topic 24: clinton-obama-hillary-presidential,National,1
Topic 25: lecture-scholar-poetry-narrative,Literature,1
Topic 26: wrestling-mat-martial-belt,Amateur,3
Topic 27: gmailcom-mp-voicemail-brewing,Software How-To,1
Topic 28: climate-federal-economics-bitcoin,Business News,1
Topic 29: wine-chef-cooking-vegan,Food,1
Topic 3: gay-porn-sexy-dental,Sexuality,1
Topic 30: disney-walt-disneyland-cruise,Kids & Family,1
Topic 31: basketball-recruiting-iowa-sec,College & High School,1
Topic 32: productivity-productive-quit-takeaway,Careers,1
Topic 33: remix-ft-feat-dj,Music,3
Topic 34: rabbi-jewish-commentary-torah,Judaism,1
Topic 35: transcript-premium-spanish-pdf,Language Courses,1
Topic 36: yarn-knitting-sock-knit,Hobbies,1
Topic 37: hunting-fishing-deer-buck,Outdoor,1
Topic 38: en-el-que-mb,,0
Topic 39: jesus-bible-pastor-ministry,Christianity,1
Topic 4: developer-agile-programming-stack,Tech News,2
Topic 40: comedian-larry-joel-mitch,Comedy,1
Topic 41: nintendo-gaming-tennis-softball,Amateur,3
Topic 42: bryan-licensed-cc-macleod,,0
Topic 43: ipad-mac-io-google+,Tech News,2
Topic 44: md-clinical-em-physician,Medicine,1
Topic 45: celtic-bike-cycling-irish,Amateur,3
Topic 46: theatre-singer-broadway-jazz,Performing Arts,1
Topic 47: startup-affiliate-seller-income,Management & Marketing,1
Topic 48: gallery-megan-painting-katie,Visual Arts,4
Topic 49: marine-traveler-pacific-bigfoot,Places & Travel,1
Topic 5: muslim-islamic-donate-publisher,Islam,1
Topic 50: photography-photographer-dot-linux,Gadgets,2
Topic 51: marathon-runner-ufc-endurance,,0
Topic 52: classroom-principal-firearm-edtech,Educational Technology,1
Topic 53: doug-mar-nasa-solar,Natural Sciences,1
Topic 54: wwe-wrestling-raw-pat,,0
Topic 55: motorcycle-racing-automotive-vehicle,Automotive,1
Topic 6: gaming-jj-rpg-dungeon,Video Games,1
Topic 7: golf-archive-poker-favourite,Other Games,1
Topic 8: paranormal-psychic-ufo-tarot,Other,1
Topic 9: yoga-oldtimeradiodvdcom-dvd-aired,,0
